,Plant Code,Stack Height (m),Annual Plant Generation (MWh),Annual Plant SO2 Emissions (M.Tonnes),Annual Plant NOx Emissions (M.Tonnes),Marginal SO2 Emissions (M.Tonnes per MWh),Marginal NOx Emissions (M.Tonnes per MWh),Marginal Emissions Damages SO2; Annual ($ per M.Tonne),Marginal Emissions Damages NOx; Annual ($ per M.Tonne),Marginal Emissions Damages SO2; Spring ($ per M.Tonne),Marginal Emissions Damages NOx; Spring ($ per M.Tonne),Marginal Emissions Damages SO2; Summer ($ per M.Tonne),Marginal Emissions Damages NOx; Summer ($ per M.Tonne),Marginal Emissions Damages SO2; Fall ($ per M.Tonne),Marginal Emissions Damages NOx; Fall ($ per M.Tonne),Marginal Emissions Damages SO2; Winter ($ per M.Tonne),Marginal Emissions Damages NOx; Winter ($ per M.Tonne),Marginal Health Cost; Annual ($ per MWh),Marginal Health Cost; Spring ($ per MWh),Marginal Health Cost; Summer ($ per MWh),Marginal Health Cost; Fall ($ per MWh),Marginal Health Cost; Winter ($ per MWh)
664,3295,53.0,1715364.999,5.129085000000001,181.13697000000002,2.9900837448531852e-06,0.00010559675060736155,27785.7058458,6530.4692229,31408.6303452,6129.2081997,28507.783171559997,1834.5417898800001,17385.331760039997,2857.884427416,33515.45011152,15199.922455799999,0.7726779172684202,0.7411389047276014,0.27896231092782175,0.35376690704108504,1.705276423396241
665,3297,101.0,2061246.0,596.667229,1453.327822,0.0002894691992125152,0.0007050724765505913,29922.20869236,6413.6562661319995,35554.626015359994,5766.170161032001,29277.27809088001,1584.2251651079998,18832.951776,2700.8007313919998,35660.16123972,15323.19541248,13.183650296153118,14.357536996617672,9.591863804665618,7.355819729758841,21.126481655996855
666,3298,121.0,2557366.0,496.821948,1990.308102,0.00019427096004248122,0.0007782648639263993,29189.07885828,5354.176716312,35650.39597104,5817.496135116,29951.712268919997,1705.45564812,17390.248619039998,1721.754127272,33352.330062119996,11959.873104768,9.837557986112202,11.453389489176953,7.146044105315871,4.718401036174393,15.787338195281029
667,3305,,6017.0,0.14330600000000002,1.563668,2.3816852251952804e-05,0.0002598750207744723,27487.931995799998,5745.9500136120005,32768.82856344,4311.694081476,29937.2181582,1525.549204188,17280.793242959997,2844.073109988,29628.778226879997,14040.7851336,2.1479048942121928,1.9009519373617663,1.1094624328391642,1.1506776580063722,4.3545135617196795
668,3318,,196.001,1.9908649999999999,4.777169000000001,0.010157422666210886,0.024373186871495558,28965.6193026,4968.011458488,39014.17755252,6862.6513926239995,26166.34580964,1349.15705556,13995.4776936,1028.8548647412001,36170.13652548,10452.845503188,415.30230970252404,563.5481762018966,298.6658910529101,167.23445423140606,622.164521371926
669,3320,,,,,,,27006.942659639997,5074.004738664,41108.117730599995,8152.023483851999,28224.85797468,1541.652244272,10523.180258532,734.1454084379999,27830.59342884,9649.019172995999,,,,,
670,3325,,7572.0,0.407243,21.436038,5.378275224511358e-05,0.00283096117274168,15771.233465399999,2723.6681054399996,12074.41129344,698.7670458143999,12302.28620832,440.2634852868,18015.22037124,3011.7778179360002,20475.15421235999,6607.717706928,8.558818996004982,2.6275774465926576,1.908019643813411,9.495134197369001,19.807402414934707
671,3338,,43908.0,0.166888,101.62935,3.8008563359752212e-06,0.002314597567641432,27516.654377400006,9088.152531071999,18320.74451016,1682.207090736,15942.3482142,757.6373005608001,28164.14580684,6700.038192792,47001.57560364,27044.684904,21.140002592908754,3.96326695833794,1.8142200282527137,15.614939976178317,62.77620813286127
672,3393,94.0,5842649.992,12.837678,205.45273300000002,2.197235504022641e-06,3.5164306142129765e-05,26284.671467879998,5783.769386196,26443.736508719998,3875.2709686919998,26499.118341240002,1418.9107608,17396.13209508,2510.345510352,34021.94970144,15144.02081052,0.2611358507124709,0.19437433144277255,0.10811981602580355,0.12649795712051626,0.6072832198039859
673,3396,198.0,1551288.0,279.14376200000004,664.582482,0.00017994322266400568,0.000428406899299163,28754.31949548,5850.314042532001,34793.0448714,6227.6483870639995,37885.43955396,2133.554605812,15458.287635239998,2249.298826116,26509.86023364,12600.91138548,7.680459814414602,8.928740155880593,7.731257598543319,3.7452292296458394,10.168587057810559
674,3399,249.0,9409261.0,6771.219384,3566.468213,0.0007196334955529452,0.00037903807886719267,30425.646175559996,6601.448676408,35285.72116716,5435.751022812,31821.83477052,2001.869127516,20451.253107239998,4000.350530712,33680.59581456,14818.9260738,24.397514535821397,27.45314349151694,23.65884281905477,16.23369194195758,29.85462216822581
675,3403,152.0,4157882.0,1578.66071,1217.207605,0.000379679055345967,0.00029274702961748316,32810.25316296,7950.018523128,36911.25689148,7695.281907408,40368.514673879996,2968.2527572199997,19399.73125524,3512.254219344,34106.0393808,17436.3798552,14.784710234624372,16.267202068652292,16.196026694928623,8.393873626929583,18.053797223586415
676,3405,106.0,4954090.0,9.664085,156.344125,1.9507285899125773e-06,3.155859602873585e-05,27607.19305728,5226.461979323999,30558.67912764,4552.29158694,38002.04300376,1850.4159685079999,15803.071436039998,2776.8631378679997,25739.85644172,11527.296907872,0.21879394304910538,0.20327562024150442,0.13252820179778785,0.11846140525377806,0.41399678027993697
677,3406,182.0,140219.0,13.551487000000002,58.19312,9.664515507884097e-05,0.0004150159393520136,32523.23371476,6483.171867732,37932.198945359996,5489.644497216,38246.635857,2118.935890404,19165.98760344,2848.922562288,33978.10650588,15288.536825279998,5.833832628695713,5.944253217276476,4.575744222626436,3.0346481175027025,9.628805844407578
678,3407,304.0,3320006.0,1739.110824,1141.7706010000002,0.000523827614769371,0.00034390618601291687,26869.59163812,5601.308030448,31801.934292479997,5157.093219912001,30409.96666776,1945.2362724,17626.8476694,2911.437320856,27228.13941456,12259.1398584,16.00135857905833,18.43228764565507,16.598559092123864,10.234690875396097,18.478845356638136
679,3439,40.0,111609.0,0.295682,4.933173,2.6492666362031734e-06,4.420049458377013e-05,16552.12566024,1742.566941756,10762.869683027999,780.5323434732,10213.267894871999,263.23378831080004,12256.988737679998,607.7668467468,32666.529169800007,5286.253409184,0.1208733149408592,0.06301362718119329,0.03869273351498621,0.05933562654088065,0.3201973610311827
680,3441,50.0,1624574.0,3.3604350000000003,89.64243800000001,2.0685022658247643e-06,5.517904262902152e-05,24405.001027799997,3613.225257972,22785.55168428,3643.64344764,14015.374521959999,632.1202352148,13541.54459376,996.063617076,46942.102693919995,9108.681227411998,0.24985611046135425,0.24818472240928297,0.06387062336064149,0.08297255246281363,0.5997081555264869
